日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 7.79 7.83 8.04 7.77 445170.75 35224 0.00% 0.05 0.64%
20211105 7.78 7.78 8.2 7.65 603530.80 47669 0.00% -0.03 -0.38%
20211104 7.7 7.81 7.92 7.66 481721.63 37675 0.00% 0.02 0.26%
20211103 7.86 7.79 7.93 7.39 654917.19 50276 0.00% -0.09 -1.14%
20211102 8.05 7.88 8.47 7.83 856720.01 69245 0.00% -0.30 -3.67%
20211101 8.15 8.18 8.53 8.05 1362945.07 112263 0.00% 0.38 4.87%
20211029 7.09 7.8 7.8 7.08 966799.03 73079 0.00% 0.71 10.01%
20211028 7.12 7.09 7.35 7.04 533679.37 38441 0.00% -0.11 -1.53%
20211027 6.84 7.2 7.5 6.84 808002.30 57834 0.00% 0.33 4.80%
20211026 6.89 6.87 7.0 6.83 278390.86 19244 0.00% 0.00 0.00%
20211025 6.69 6.87 6.9 6.66 210347.72 14292 0.00% 0.13 1.93%
20211022 6.86 6.74 6.92 6.72 220272.35 15002 0.00% -0.12 -1.75%
20211021 6.84 6.86 7.02 6.82 275248.76 19041 0.00% 0.06 0.88%
20211020 6.86 6.8 6.91 6.75 227344.30 15527 0.00% -0.10 -1.45%
20211019 6.88 6.9 6.93 6.81 237335.50 16323 0.00% 0.02 0.29%
20211018 6.81 6.88 6.93 6.8 191994.94 13199 0.00% 0.07 1.03%
20211015 6.96 6.81 6.96 6.78 161652.20 11051 0.00% -0.13 -1.87%
20211014 6.81 6.94 7.03 6.8 180009.73 12495 0.00% 0.10 1.46%
20211013 6.89 6.84 6.92 6.73 132425.47 9048 0.00% 0.01 0.15%
20211012 7.13 6.83 7.13 6.77 216536.00 14963 0.00% -0.30 -4.21%
20211011 7.12 7.13 7.2 6.96 188793.12 13429 0.00% 0.00 0.00%
20211008 7.2 7.13 7.33 7.11 191100.87 13703 0.00% 0.00 0.00%
20210930 7.08 7.13 7.22 7.03 148043.00 10576 0.00% 0.11 1.57%
20210929 7.35 7.02 7.43 7.02 191005.65 13740 0.00% -0.37 -5.01%
20210928 7.34 7.39 7.42 7.13 213869.72 15640 0.00% 0.03 0.41%
20210927 7.85 7.36 7.85 7.33 313165.54 23615 0.00% -0.57 -7.19%
20210924 8.8 7.93 8.93 7.92 573846.10 47544 0.00% -0.87 -9.89%
20210923 9.09 8.8 9.15 8.61 408995.59 36403 0.00% -0.23 -2.55%
20210922 9.3 9.03 9.34 8.87 512976.93 46352 0.00% -0.45 -4.75%
20210917 9.67 9.48 10.0 8.89 762792.86 72447 0.00% -0.16 -1.66%
20210916 9.77 9.64 10.34 9.53 1069964.35 106367 0.00% 0.24 2.55%
20210915 9.1 9.4 9.48 8.93 550016.56 50756 0.00% 0.29 3.18%
20210914 8.63 9.11 9.25 8.5 511878.37 45876 0.00% 0.39 4.47%
20210913 8.77 8.72 8.87 8.61 274533.50 23968 0.00% 0.04 0.46%
20210910 8.96 8.68 8.97 8.5 327007.50 28348 0.00% -0.25 -2.80%
20210909 9.02 8.93 9.12 8.8 285781.50 25560 0.00% -0.15 -1.65%
20210908 8.93 9.08 9.25 8.86 445118.66 40506 0.00% 0.20 2.25%
20210907 8.28 8.88 8.96 8.26 470930.96 41209 0.00% 0.58 6.99%
20210906 8.35 8.3 8.54 8.12 234141.25 19348 0.00% -0.13 -1.54%
20210903 8.3 8.43 8.96 8.28 407686.29 34882 0.00% 0.07 0.84%
20210902 8.1 8.36 8.42 8.04 321182.73 26525 0.00% 0.12 1.46%
20210901 9.26 8.24 9.28 8.18 551877.45 47682 0.00% -0.84 -9.25%
20210831 9.33 9.08 9.37 8.9 377353.30 34090 0.00% -0.17 -1.84%
20210830 9.69 9.25 9.69 9.16 753979.88 70499 0.00% 0.01 0.11%
20210827 8.3 9.24 9.24 8.2 595885.61 53095 0.00% 0.84 10.00%
20210826 8.44 8.4 8.52 8.3 237166.75 19968 0.00% 0.04 0.48%
20210825 8.37 8.36 8.4 8.25 161651.50 13464 0.00% 0.01 0.12%
20210824 8.24 8.35 8.54 8.22 255061.53 21445 0.00% 0.07 0.85%
20210823 7.99 8.28 8.35 7.95 215441.03 17703 0.00% 0.22 2.73%
20210820 7.89 8.06 8.08 7.77 181116.08 14390 0.00% 0.05 0.62%
20210819 8.04 8.01 8.09 7.62 295548.23 23198 0.00% -0.07 -0.87%
20210818 8.05 8.08 8.23 8.02 215412.36 17478 0.00% 0.03 0.37%
20210817 8.37 8.05 8.53 8.0 359996.03 29607 0.00% -0.35 -4.17%
20210816 9.0 8.4 9.05 8.39 475184.82 41183 0.00% -0.45 -5.08%
20210813 8.5 8.85 8.92 8.44 529261.77 46374 0.00% 0.35 4.12%
20210812 8.53 8.5 8.86 8.32 456262.72 39092 0.00% -0.01 -0.12%
20210811 8.26 8.51 8.55 8.17 352018.00 29580 0.00% 0.21 2.53%
20210810 8.31 8.3 8.44 8.14 324882.72 27019 0.00% -0.01 -0.12%
20210809 8.28 8.31 8.52 8.21 361356.22 30153 0.00% -0.07 -0.84%
20210806 7.76 8.38 8.47 7.76 540020.14 44385 0.00% 0.60 7.71%
20210805 7.92 7.78 7.93 7.7 244415.93 19024 0.00% -0.21 -2.63%
20210804 7.65 7.99 8.03 7.6 355286.94 28025 0.00% 0.29 3.77%
20210803 7.9 7.7 8.17 7.62 348165.84 27474 0.00% -0.18 -2.28%
20210802 7.9 7.88 8.01 7.7 366426.04 28832 0.00% -0.05 -0.63%
20210730 7.78 7.93 8.0 7.71 368240.39 28887 0.00% 0.18 2.32%
20210729 7.5 7.75 7.93 7.46 337006.14 25975 0.00% 0.36 4.87%
20210728 7.25 7.39 7.65 7.11 274734.12 20378 0.00% 0.09 1.23%
20210727 7.63 7.3 7.75 7.29 255733.75 19335 0.00% -0.34 -4.45%
20210726 7.69 7.64 7.79 7.42 253654.11 19300 0.00% -0.09 -1.16%
20210723 7.55 7.73 7.77 7.5 282446.50 21650 0.00% 0.16 2.11%
20210722 7.56 7.57 7.75 7.43 250488.45 18960 0.00% 0.04 0.53%
20210721 7.43 7.53 7.6 7.38 253752.28 19066 0.00% 0.10 1.35%
20210720 7.21 7.43 7.53 7.18 191696.69 14183 0.00% 0.15 2.06%
20210719 7.34 7.28 7.51 7.26 168119.07 12404 0.00% -0.06 -0.82%
20210716 7.24 7.34 7.51 7.2 241227.22 17856 0.00% 0.08 1.10%
20210715 7.21 7.26 7.33 7.02 191108.03 13716 0.00% 0.05 0.69%
20210714 7.34 7.21 7.34 7.19 159514.31 11551 0.00% -0.13 -1.77%
20210713 7.38 7.34 7.44 7.27 206941.50 15160 0.00% -0.06 -0.81%
20210712 7.41 7.4 7.65 7.3 380807.19 28449 0.00% 0.03 0.41%
20210709 7.09 7.37 7.45 7.09 287230.53 20953 0.00% 0.23 3.22%
20210708 7.19 7.14 7.28 7.11 186220.54 13366 0.00% -0.04 -0.56%
20210707 7.04 7.18 7.24 6.97 250867.38 17922 0.00% 0.20 2.87%
20210706 7.01 6.98 7.03 6.88 111454.90 7742 0.00% -0.05 -0.71%
20210705 6.8 7.03 7.03 6.78 154839.13 10778 0.00% 0.19 2.78%
20210702 6.74 6.84 7.0 6.71 129765.82 8950 0.00% 0.11 1.63%
20210701 6.89 6.73 6.89 6.71 69448.75 4705 0.00% -0.16 -2.32%
20210630 6.82 6.89 6.9 6.81 49718.75 3409 0.00% 0.07 1.03%
20210629 6.88 6.82 6.95 6.82 54455.84 3750 0.00% -0.07 -1.02%
20210628 6.93 6.89 6.98 6.87 49022.34 3389 0.00% -0.05 -0.72%
20210625 6.85 6.94 6.96 6.82 64220.73 4418 0.00% 0.06 0.87%
20210624 7.01 6.88 7.01 6.83 68341.20 4722 0.00% -0.12 -1.71%
20210623 6.96 7.0 7.03 6.9 69200.07 4815 0.00% 0.03 0.43%
20210622 6.9 6.97 6.99 6.86 65616.94 4551 0.00% 0.07 1.01%
20210621 6.87 6.9 6.92 6.84 56776.75 3903 0.00% 0.01 0.15%
20210618 6.8 6.89 6.9 6.7 68282.43 4647 0.00% 0.01 0.15%
20210617 6.86 6.88 6.89 6.83 49805.39 3418 0.00% 0.03 0.44%
20210616 6.91 6.85 6.94 6.85 69255.53 4769 0.00% -0.09 -1.30%
20210615 6.98 6.94 7.04 6.91 76018.00 5289 0.00% -0.05 -0.72%
20210611 7.16 6.99 7.19 6.98 129043.17 9128 0.00% -0.20 -2.78%
20210610 7.26 7.19 7.28 7.1 138788.00 9973 0.00% -0.11 -1.51%
20210609 7.13 7.3 7.6 7.13 189786.64 13954 0.00% 0.16 2.24%
20210608 7.36 7.14 7.47 7.11 193581.97 14064 0.00% -0.05 -0.70%
20210607 7.1 7.19 7.26 6.99 184470.54 13183 0.00% 0.21 3.01%
20210604 6.92 6.98 7.02 6.86 96404.16 6694 0.00% 0.02 0.29%
20210603 6.91 6.96 7.1 6.88 120950.43 8469 0.00% 0.05 0.72%
20210602 6.94 6.91 7.01 6.89 70336.11 4878 0.00% -0.05 -0.72%
20210601 6.99 6.96 6.99 6.88 79522.67 5511 0.00% -0.05 -0.71%
20210531 6.89 7.01 7.05 6.83 112522.78 7861 0.00% 0.14 2.04%
20210528 6.86 6.87 6.96 6.83 87687.75 6048 0.00% 0.01 0.15%
20210527 6.84 6.86 6.88 6.8 72000.03 4920 0.00% 0.00 0.00%
20210526 6.8 6.86 6.9 6.77 88316.14 6049 0.00% 0.06 0.88%
20210525 6.8 6.8 6.81 6.74 60270.06 4086 0.00% 0.00 0.00%
20210524 6.71 6.8 6.88 6.71 81859.17 5576 0.00% 0.10 1.49%
20210521 6.69 6.7 6.74 6.69 41102.25 2760 0.00% -0.01 -0.15%
20210520 6.78 6.71 6.78 6.7 50306.55 3381 0.00% -0.08 -1.18%
20210519 6.77 6.79 6.83 6.71 65728.92 4436 0.00% -0.02 -0.29%
20210518 6.84 6.81 6.84 6.77 40099.87 2727 0.00% 0.03 0.44%
20210517 6.8 6.78 6.8 6.75 47291.23 3202 0.00% -0.02 -0.29%
20210514 6.78 6.8 6.82 6.72 54935.72 3723 0.00% 0.05 0.74%
20210513 6.79 6.75 6.83 6.7 69958.97 4731 0.00% -0.10 -1.46%
20210512 6.73 6.85 6.85 6.72 70562.36 4807 0.00% 0.04 0.59%
20210511 6.95 6.81 6.97 6.71 148578.74 10123 0.00% -0.23 -3.27%
20210510 6.85 7.04 7.05 6.85 123690.55 8597 0.00% 0.19 2.77%
20210507 6.79 6.85 6.94 6.79 89671.67 6164 0.00% 0.06 0.88%
20210506 6.72 6.79 6.88 6.72 62123.49 4222 0.00% 0.08 1.19%
20210430 6.74 6.71 6.8 6.64 71353.05 4789 0.00% -0.06 -0.89%
20210429 6.88 6.77 6.88 6.77 59786.35 4073 0.00% -0.10 -1.46%
20210428 6.83 6.87 6.89 6.77 43736.75 2988 0.00% 0.04 0.59%
20210427 6.94 6.83 6.97 6.75 75544.47 5162 0.00% -0.06 -0.87%
20210426 6.98 6.89 7.03 6.88 78855.92 5490 0.00% -0.09 -1.29%
20210423 7.0 6.98 7.04 6.9 65041.29 4534 0.00% -0.06 -0.85%
20210422 7.01 7.04 7.16 7.01 62164.08 4391 0.00% 0.03 0.43%
20210421 7.15 7.01 7.15 7.0 82002.17 5785 0.00% -0.17 -2.37%
20210420 7.2 7.18 7.29 7.18 76667.50 5532 0.00% -0.06 -0.83%
20210419 7.17 7.24 7.27 7.14 81997.75 5919 0.00% 0.07 0.98%
20210416 7.07 7.17 7.19 7.02 76426.50 5431 0.00% 0.11 1.56%
20210415 7.08 7.06 7.09 6.95 59075.75 4142 0.00% -0.02 -0.28%
20210414 7.0 7.08 7.1 6.95 65295.30 4585 0.00% 0.10 1.43%
20210413 7.12 6.98 7.15 6.94 69551.25 4892 0.00% -0.17 -2.38%
20210412 7.25 7.15 7.31 7.12 94991.75 6853 0.00% -0.12 -1.65%
20210409 7.22 7.27 7.32 7.14 99029.99 7181 0.00% 0.05 0.69%
20210408 7.22 7.22 7.3 7.14 103175.00 7452 0.00% 0.02 0.28%
20210407 7.02 7.2 7.23 7.0 117814.75 8399 0.00% 0.15 2.13%
20210406 6.88 7.05 7.06 6.88 96022.92 6734 0.00% 0.17 2.47%
20210402 6.87 6.88 6.92 6.82 78275.25 5377 0.00% 0.01 0.15%
20210401 6.93 6.87 6.95 6.75 149996.42 10261 0.00% -0.16 -2.28%
20210331 7.24 7.03 7.26 7.01 123301.26 8736 0.00% -0.25 -3.43%
20210330 7.26 7.28 7.37 7.13 116628.41 8478 0.00% 0.03 0.41%
20210329 7.27 7.25 7.31 7.18 68676.41 4973 0.00% -0.03 -0.41%
20210326 7.16 7.28 7.32 7.14 84487.00 6117 0.00% 0.11 1.53%
20210325 7.14 7.17 7.32 7.14 79335.75 5731 0.00% 0.00 0.00%
20210324 7.23 7.17 7.29 7.12 95433.91 6874 0.00% -0.08 -1.10%
20210323 7.51 7.25 7.6 7.23 139196.33 10205 0.00% -0.28 -3.72%
20210322 7.38 7.53 7.57 7.37 130718.50 9763 0.00% 0.12 1.62%
20210319 7.27 7.41 7.49 7.25 118005.25 8741 0.00% 0.03 0.41%
20210318 7.5 7.38 7.57 7.37 149858.75 11176 0.00% -0.15 -1.99%
20210317 7.52 7.53 7.58 7.41 134482.82 10085 0.00% -0.10 -1.31%
20210316 7.74 7.63 7.76 7.44 178328.00 13488 0.00% -0.11 -1.42%
20210315 7.67 7.74 7.92 7.61 198533.25 15428 0.00% 0.00 0.00%
20210312 7.67 7.74 7.78 7.59 246741.00 18968 0.00% 0.04 0.52%
20210311 7.31 7.7 7.74 7.28 272810.07 20708 0.00% 0.35 4.76%
