日期 开盘价 收盘价 最高价 最低价 成交量（手） 成交额（万元） 换手率 涨跌额 涨跌幅（%）
20211108 6.9 6.93 6.98 6.62 281270.84 19207 0.00% 0.04 0.58%
20211105 7.34 6.89 7.36 6.86 468414.00 32745 0.00% -0.36 -4.97%
20211104 6.97 7.25 7.42 6.96 502431.90 36327 0.00% 0.30 4.32%
20211103 7.09 6.95 7.14 6.84 326782.90 22703 0.00% -0.15 -2.11%
20211102 7.46 7.1 7.48 7.03 546876.30 39469 0.00% -0.43 -5.71%
20211101 7.25 7.53 7.71 7.12 656942.82 48870 0.00% 0.30 4.15%
20211029 7.15 7.23 7.25 6.73 512644.00 35838 0.00% 0.04 0.56%
20211028 7.41 7.19 7.62 7.09 545690.01 39999 0.00% -0.32 -4.26%
20211027 7.39 7.51 7.57 7.27 573063.82 42828 0.00% 0.12 1.62%
20211026 7.42 7.39 7.55 7.25 643454.30 47703 0.00% -0.30 -3.90%
20211025 7.36 7.69 8.0 7.36 633393.74 48906 0.00% 0.41 5.63%
20211022 7.62 7.28 7.84 7.23 606574.92 45705 0.00% -0.33 -4.34%
20211021 7.41 7.61 7.68 7.23 557081.00 41584 0.00% 0.21 2.84%
20211020 7.16 7.4 7.55 7.11 465528.00 34384 0.00% 0.24 3.35%
20211019 7.15 7.16 7.33 7.07 354378.02 25434 0.00% -0.02 -0.28%
20211018 7.03 7.18 7.22 7.0 378327.95 27006 0.00% 0.19 2.72%
20211015 7.03 6.99 7.09 6.82 315336.00 21921 0.00% -0.03 -0.43%
20211014 6.74 7.02 7.14 6.68 490494.97 34318 0.00% 0.20 2.93%
20211013 6.75 6.82 6.83 6.41 460978.02 30641 0.00% 0.15 2.25%
20211012 7.09 6.67 7.15 6.49 533504.31 35937 0.00% -0.40 -5.66%
20211011 7.46 7.07 7.49 6.9 476800.96 33717 0.00% -0.29 -3.94%
20211008 8.13 7.36 8.19 7.26 692215.59 52251 0.00% -0.61 -7.65%
20210930 7.66 7.97 8.14 7.53 684313.81 53875 0.00% 0.44 5.84%
20210929 8.05 7.53 8.29 7.52 953901.31 74399 0.00% -0.82 -9.82%
20210928 7.8 8.35 8.54 7.8 796961.61 66521 0.00% 0.47 5.96%
20210927 8.99 7.88 9.09 7.88 1022858.63 84130 0.00% -0.88 -10.05%
20210924 8.2 8.76 8.96 8.02 1077980.19 92286 0.00% 0.52 6.31%
20210923 8.53 8.24 8.78 8.23 798222.05 67471 0.00% -0.29 -3.40%
20210922 8.24 8.53 8.68 8.24 810742.71 68961 0.00% 0.23 2.77%
20210917 8.34 8.3 8.83 8.08 1050178.52 89234 0.00% -0.17 -2.01%
20210916 9.0 8.47 9.05 8.33 1681742.27 145770 0.00% 0.01 0.12%
20210915 7.93 8.46 8.46 7.93 325390.84 27110 0.00% 0.77 10.01%
20210914 7.4 7.69 8.0 7.1 1106090.34 83980 0.00% 0.42 5.78%
20210913 7.13 7.27 7.31 7.05 518488.00 37286 0.00% 0.12 1.68%
20210910 7.2 7.15 7.3 7.04 502423.86 35879 0.00% -0.14 -1.92%
20210909 7.25 7.29 7.43 7.14 489353.88 35556 0.00% 0.02 0.28%
20210908 7.51 7.27 7.84 7.2 835547.48 62032 0.00% -0.16 -2.15%
20210907 7.46 7.43 7.5 7.25 676674.70 49925 0.00% 0.08 1.09%
20210906 7.73 7.35 7.88 7.23 872364.68 64831 0.00% -0.49 -6.25%
20210903 7.79 7.84 8.15 7.57 1390554.72 109553 0.00% 0.25 3.29%
20210902 6.67 7.59 7.59 6.61 1221086.00 89064 0.00% 0.69 10.00%
20210901 7.56 6.9 7.67 6.9 1028388.25 73884 0.00% -0.77 -10.04%
20210831 7.57 7.67 7.89 7.45 1078234.50 82564 0.00% 0.01 0.13%
20210830 7.6 7.66 7.82 7.35 1631010.06 123745 0.00% 0.40 5.51%
